task_id,phase,department,district,path,depends_on,status,priority,definition_of_done
STR-03_Cordillera-Caraguatay,estrutura,03_Cordillera,Caraguatay,Departamentos/03_Cordillera/Caraguatay,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-03_Cordillera-Emboscada,estrutura,03_Cordillera,Emboscada,Departamentos/03_Cordillera/Emboscada,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-03_Cordillera-Eusebio_Ayala,estrutura,03_Cordillera,Eusebio_Ayala,Departamentos/03_Cordillera/Eusebio_Ayala,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-03_Cordillera-Isla_Pucu,estrutura,03_Cordillera,Isla_Pucu,Departamentos/03_Cordillera/Isla_Pucu,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-03_Cordillera-Itacurubi_de_la_Cordillera,estrutura,03_Cordillera,Itacurubi_de_la_Cordillera,Departamentos/03_Cordillera/Itacurubi_de_la_Cordillera,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-03_Cordillera-Juan_de_Mena,estrutura,03_Cordillera,Juan_de_Mena,Departamentos/03_Cordillera/Juan_de_Mena,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-03_Cordillera-Loma_Grande,estrutura,03_Cordillera,Loma_Grande,Departamentos/03_Cordillera/Loma_Grande,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-03_Cordillera-Mbocayaty_del_Yhaguy,estrutura,03_Cordillera,Mbocayaty_del_Yhaguy,Departamentos/03_Cordillera/Mbocayaty_del_Yhaguy,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-03_Cordillera-Nueva_Colombia,estrutura,03_Cordillera,Nueva_Colombia,Departamentos/03_Cordillera/Nueva_Colombia,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-03_Cordillera-Piribebuy,estrutura,03_Cordillera,Piribebuy,Departamentos/03_Cordillera/Piribebuy,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-03_Cordillera-Primero_de_Marzo,estrutura,03_Cordillera,Primero_de_Marzo,Departamentos/03_Cordillera/Primero_de_Marzo,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-03_Cordillera-San_Bernardino,estrutura,03_Cordillera,San_Bernardino,Departamentos/03_Cordillera/San_Bernardino,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-03_Cordillera-San_Jose_de_los_Arroyos,estrutura,03_Cordillera,San_Jose_de_los_Arroyos,Departamentos/03_Cordillera/San_Jose_de_los_Arroyos,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-03_Cordillera-Santa_Elena,estrutura,03_Cordillera,Santa_Elena,Departamentos/03_Cordillera/Santa_Elena,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-03_Cordillera-Valenzuela,estrutura,03_Cordillera,Valenzuela,Departamentos/03_Cordillera/Valenzuela,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-04_Guaira-Borja,estrutura,04_Guaira,Borja,Departamentos/04_Guaira/Borja,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-04_Guaira-Capitan_Mauricio_Jose_Troche,estrutura,04_Guaira,Capitan_Mauricio_Jose_Troche,Departamentos/04_Guaira/Capitan_Mauricio_Jose_Troche,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-04_Guaira-Coronel_Martinez,estrutura,04_Guaira,Coronel_Martinez,Departamentos/04_Guaira/Coronel_Martinez,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-04_Guaira-Doctor_Botrell,estrutura,04_Guaira,Doctor_Botrell,Departamentos/04_Guaira/Doctor_Botrell,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-04_Guaira-Felix_Perez_Cardozo,estrutura,04_Guaira,Felix_Perez_Cardozo,Departamentos/04_Guaira/Felix_Perez_Cardozo,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-04_Guaira-General_Eugenio_A_Garay,estrutura,04_Guaira,General_Eugenio_A_Garay,Departamentos/04_Guaira/General_Eugenio_A_Garay,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
STR-04_Guaira-Independencia,estrutura,04_Guaira,Independencia,Departamentos/04_Guaira/Independencia,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
