task_id,phase,category,scope,department,district,source,method,api_or_url,output_path,description,depends_on,priority,status
COV100-CLIMA-00_Distrito_Capital-Asuncion,1_API,CLIMA,localidade,00_Distrito_Capital,Asuncion,NASA POWER Climatology API,api_get,"https://power.larc.nasa.gov/api/temporal/climatology/point?parameters=ALLSKY_SFC_SW_DWN,PRECTOTCORR&community=RE&longitude={LON}&latitude={LAT}&format=JSON",Departamentos/00_Distrito_Capital/Asuncion/DADOS.md,Obter série climática mensal (solar kWh/m²/dia + precipitação mm/dia) período 2001-2020 para Asuncion. Geocodificar coordenadas via INE GeoEstatístico ou Nominatim. Inserir tabelas mensais + média anual + inclinação solar recomendada (|lat|°N ±10°) na seção '### 3. Dados Climaticos' do DADOS.md.,COV100-GEOCOD-00_Distrito_Capital-Asuncion,P1,done
COV100-SOLO-00_Distrito_Capital-Asuncion,1_API,SOLO,localidade,00_Distrito_Capital,Asuncion,ISRIC SoilGrids 2.0,api_get,https://rest.isric.org/soilgrids/v2.0/properties/query?lon={LON}&lat={LAT}&property=phh2o&property=soc&property=clay&property=sand&property=bdod&depth=0-30cm&value=mean,Departamentos/00_Distrito_Capital/Asuncion/DADOS.md,"Consultar SoilGrids 2.0 para Asuncion: pH, carbono orgânico, % argila, % areia, densidade aparente na camada 0-30cm. Derivar classificação de aptidão agrícola (alta/média/baixa/restritiva). Inserir subseção '### Solo' no DADOS.md com valores e aptidão.",COV100-GEOCOD-00_Distrito_Capital-Asuncion,P2,todo
COV100-LUZ-00_Distrito_Capital-Asuncion,1_API,POLUICAO_LUMINOSA,localidade,00_Distrito_Capital,Asuncion,NASA VIIRS Black Marble / AppEEARS,api_get,https://appeears.earthdatacloud.nasa.gov/ | produto VNP46A4 (anual médio nW/cm2/sr),Departamentos/00_Distrito_Capital/Asuncion/DADOS.md,Obter brilho artificial noturno anual médio (nW/cm²/sr) para Asuncion via NASA Black Marble VNP46A4 ou lightpollutionmap.info. Converter para escala Bortle (1=escuro a 9=poluído). Inserir campo 'poluicao_luminosa' no DADOS.md.,COV100-GEOCOD-00_Distrito_Capital-Asuncion,P2,done
COV100-SAUDE-00_Distrito_Capital-Asuncion,2_WEB,SAUDE,localidade,00_Distrito_Capital,Asuncion,MSPBS + IPS,web_research,https://www.mspbs.gov.py/mapa-establecimientos.html | https://www.ips.gov.py,Departamentos/00_Distrito_Capital/Asuncion/DADOS.md,"Levantar infraestrutura de saúde em Asuncion: número de USFs, postos de saúde, hospital regional (sim/não), presença de IPS, especialidades locais, distância ao hospital de referência (km). Fonte: mapa MSPBS + IPS. Inserir seção '### Saude' no DADOS.md.",,P1,done
COV100-CELULAR-00_Distrito_Capital-Asuncion,2_WEB,CELULAR,localidade,00_Distrito_Capital,Asuncion,CONATEL + OpenSignal + TIGO/Personal/Claro,web_research,https://www.conatel.gov.py/index.php/espectro/cobertura-de-red-movil | https://www.opensignal.com/paraguay | https://www.nperf.com/map/PY/,Departamentos/00_Distrito_Capital/Asuncion/DADOS.md,"Verificar cobertura móvel em Asuncion por operadora (TIGO, Personal, Claro): tecnologia disponível (2G/3G/4G/5G), velocidade média download/upload (Mbps) via OpenSignal/nPerf, qualidade do sinal. Inserir tabela '### Celular' no DADOS.md.",,P2,done
COV100-INTERNET-00_Distrito_Capital-Asuncion,2_WEB,INTERNET,localidade,00_Distrito_Capital,Asuncion,CONATEL + COPACO + Speedtest + nPerf,web_research,https://www.conatel.gov.py | https://www.copaco.com.py/cobertura | https://www.speedtest.net/global-index/paraguay | https://www.nperf.com/map/PY/,Departamentos/00_Distrito_Capital/Asuncion/DADOS.md,"Verificar disponibilidade de internet fixa em Asuncion: operadoras disponíveis, tecnologia (fibra/cabo/rádio/satélite), velocidade típica (Mbps), preço médio de plano básico (Gs./mês). Registrar disponibilidade de Starlink como opção universal. Inserir '### Internet' no DADOS.md.",,P2,done
COV100-COMBUST-00_Distrito_Capital-Asuncion,2_WEB,COMBUSTIVEL,localidade,00_Distrito_Capital,Asuncion,PETROPAR + OpenStreetMap Overpass API,api_get,"https://overpass-api.de/api/interpreter?data=[out:json];node[amenity=fuel](around:5000,{LAT},{LON});out; | https://www.petropar.gov.py/index.php/precios",Departamentos/00_Distrito_Capital/Asuncion/DADOS.md,"Contar postos de combustível em raio de 5km de Asuncion via Overpass API (OSM). Verificar preço de referência PETROPAR (gasolina Común, Especial, Diésel). Inserir campo 'postos_combustivel_5km' e 'preco_gasolina_gs_litro' no DADOS.md.",COV100-GEOCOD-00_Distrito_Capital-Asuncion,P2,done
COV100-TERRA-00_Distrito_Capital-Asuncion,2_WEB,TERRA_RURAL,localidade,00_Distrito_Capital,Asuncion,clasificados.com.py + OLX.com.py + InfoCasas,web_scrape,https://clasificados.com.py/inmuebles/campo | https://www.olx.com.py/campo-e-fazenda | https://www.infocasas.com.py/campo,Departamentos/00_Distrito_Capital/Asuncion/DADOS.md,"Pesquisar anúncios de terra rural em/próximo a Asuncion nos portais imobiliários. Calcular mediana de preço por hectare (USD/ha). Registrar faixa (mín-máx), aptidão declarada e número de anúncios encontrados. Se zero anúncios, usar valor departamental como proxy. Inserir/atualizar '### Terra Rural' no DADOS.md.",,P1,done
COV100-IMOVEL-00_Distrito_Capital-Asuncion,2_WEB,IMOVEL_URBANO,localidade,00_Distrito_Capital,Asuncion,InfoCasas + clasificados.com.py + OLX,web_scrape,https://www.infocasas.com.py/comprar/casas | https://clasificados.com.py/inmuebles/casas | https://www.olx.com.py/casas,Departamentos/00_Distrito_Capital/Asuncion/DADOS.md,"Pesquisar custo de imóveis residenciais em Asuncion: preço médio de compra (USD/m²), aluguel médio (USD/mês), custo de lote urbano (USD/m²). Se sem anúncios, registrar 'mercado informal; sem referência formal'. Inserir campo 'imovel_urbano' no DADOS.md.",,P2,done
COV100-CLIMA-01_Concepcion-Arroyito,1_API,CLIMA,localidade,01_Concepcion,Arroyito,NASA POWER Climatology API,api_get,"https://power.larc.nasa.gov/api/temporal/climatology/point?parameters=ALLSKY_SFC_SW_DWN,PRECTOTCORR&community=RE&longitude={LON}&latitude={LAT}&format=JSON",Departamentos/01_Concepcion/Arroyito/DADOS.md,Obter série climática mensal (solar kWh/m²/dia + precipitação mm/dia) período 2001-2020 para Arroyito. Geocodificar coordenadas via INE GeoEstatístico ou Nominatim. Inserir tabelas mensais + média anual + inclinação solar recomendada (|lat|°N ±10°) na seção '### 3. Dados Climaticos' do DADOS.md.,COV100-GEOCOD-01_Concepcion-Arroyito,P1,done
